geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Las Vegas,driving,NA,Nevada,United States,2020-01-13,100
city,Las Vegas,driving,NA,Nevada,United States,2020-01-14,102.11
city,Las Vegas,driving,NA,Nevada,United States,2020-01-15,106.24
city,Las Vegas,driving,NA,Nevada,United States,2020-01-16,110.98
city,Las Vegas,driving,NA,Nevada,United States,2020-01-17,132.98
city,Las Vegas,driving,NA,Nevada,United States,2020-01-18,142.25
city,Las Vegas,driving,NA,Nevada,United States,2020-01-19,111.36
city,Las Vegas,driving,NA,Nevada,United States,2020-01-20,115.25
city,Las Vegas,driving,NA,Nevada,United States,2020-01-21,112.31
city,Las Vegas,driving,NA,Nevada,United States,2020-01-22,111.76
city,Las Vegas,driving,NA,Nevada,United States,2020-01-23,116.2
city,Las Vegas,driving,NA,Nevada,United States,2020-01-24,133.25
city,Las Vegas,driving,NA,Nevada,United States,2020-01-25,132.42
city,Las Vegas,driving,NA,Nevada,United States,2020-01-26,98.42
city,Las Vegas,driving,NA,Nevada,United States,2020-01-27,109.38
city,Las Vegas,driving,NA,Nevada,United States,2020-01-28,108.27
city,Las Vegas,driving,NA,Nevada,United States,2020-01-29,107.58
city,Las Vegas,driving,NA,Nevada,United States,2020-01-30,112.38
city,Las Vegas,driving,NA,Nevada,United States,2020-01-31,128.87
city,Las Vegas,driving,NA,Nevada,United States,2020-02-01,125.8
city,Las Vegas,driving,NA,Nevada,United States,2020-02-02,91.54
city,Las Vegas,driving,NA,Nevada,United States,2020-02-03,107.86
city,Las Vegas,driving,NA,Nevada,United States,2020-02-04,107.64
city,Las Vegas,driving,NA,Nevada,United States,2020-02-05,110.05
city,Las Vegas,driving,NA,Nevada,United States,2020-02-06,115.02
city,Las Vegas,driving,NA,Nevada,United States,2020-02-07,132.98
city,Las Vegas,driving,NA,Nevada,United States,2020-02-08,130.92
city,Las Vegas,driving,NA,Nevada,United States,2020-02-09,97.48
city,Las Vegas,driving,NA,Nevada,United States,2020-02-10,109.7
city,Las Vegas,driving,NA,Nevada,United States,2020-02-11,110.26
city,Las Vegas,driving,NA,Nevada,United States,2020-02-12,113.22
city,Las Vegas,driving,NA,Nevada,United States,2020-02-13,125.34
city,Las Vegas,driving,NA,Nevada,United States,2020-02-14,150.02
city,Las Vegas,driving,NA,Nevada,United States,2020-02-15,143.56
city,Las Vegas,driving,NA,Nevada,United States,2020-02-16,116.74
city,Las Vegas,driving,NA,Nevada,United States,2020-02-17,118.48
city,Las Vegas,driving,NA,Nevada,United States,2020-02-18,117.7
city,Las Vegas,driving,NA,Nevada,United States,2020-02-19,119.92
city,Las Vegas,driving,NA,Nevada,United States,2020-02-20,132.92
city,Las Vegas,driving,NA,Nevada,United States,2020-02-21,153.89
city,Las Vegas,driving,NA,Nevada,United States,2020-02-22,143.89
city,Las Vegas,driving,NA,Nevada,United States,2020-02-23,114.68
city,Las Vegas,driving,NA,Nevada,United States,2020-02-24,120.88
city,Las Vegas,driving,NA,Nevada,United States,2020-02-25,117.84
city,Las Vegas,driving,NA,Nevada,United States,2020-02-26,119.88
city,Las Vegas,driving,NA,Nevada,United States,2020-02-27,123.98
city,Las Vegas,driving,NA,Nevada,United States,2020-02-28,140.9
city,Las Vegas,driving,NA,Nevada,United States,2020-02-29,137.87
city,Las Vegas,driving,NA,Nevada,United States,2020-03-01,106.01
city,Las Vegas,driving,NA,Nevada,United States,2020-03-02,114.8
city,Las Vegas,driving,NA,Nevada,United States,2020-03-03,116.42
city,Las Vegas,driving,NA,Nevada,United States,2020-03-04,119.69
city,Las Vegas,driving,NA,Nevada,United States,2020-03-05,124.47
city,Las Vegas,driving,NA,Nevada,United States,2020-03-06,142.75
city,Las Vegas,driving,NA,Nevada,United States,2020-03-07,140.77
city,Las Vegas,driving,NA,Nevada,United States,2020-03-08,110.01
city,Las Vegas,driving,NA,Nevada,United States,2020-03-09,119.13
city,Las Vegas,driving,NA,Nevada,United States,2020-03-10,115.98
city,Las Vegas,driving,NA,Nevada,United States,2020-03-11,115.37
city,Las Vegas,driving,NA,Nevada,United States,2020-03-12,112.41
city,Las Vegas,driving,NA,Nevada,United States,2020-03-13,120.77
city,Las Vegas,driving,NA,Nevada,United States,2020-03-14,112.32
city,Las Vegas,driving,NA,Nevada,United States,2020-03-15,83.69
city,Las Vegas,driving,NA,Nevada,United States,2020-03-16,90.6
city,Las Vegas,driving,NA,Nevada,United States,2020-03-17,82.84
city,Las Vegas,driving,NA,Nevada,United States,2020-03-18,69.08
city,Las Vegas,driving,NA,Nevada,United States,2020-03-19,62.84
city,Las Vegas,driving,NA,Nevada,United States,2020-03-20,66.32
city,Las Vegas,driving,NA,Nevada,United States,2020-03-21,54.99
city,Las Vegas,driving,NA,Nevada,United States,2020-03-22,43.53
city,Las Vegas,driving,NA,Nevada,United States,2020-03-23,54.25
city,Las Vegas,driving,NA,Nevada,United States,2020-03-24,55.83
city,Las Vegas,driving,NA,Nevada,United States,2020-03-25,55.04
city,Las Vegas,driving,NA,Nevada,United States,2020-03-26,56.05
city,Las Vegas,driving,NA,Nevada,United States,2020-03-27,61.18
city,Las Vegas,driving,NA,Nevada,United States,2020-03-28,53.69
city,Las Vegas,driving,NA,Nevada,United States,2020-03-29,42.63
city,Las Vegas,driving,NA,Nevada,United States,2020-03-30,55.22
city,Las Vegas,driving,NA,Nevada,United States,2020-03-31,56.45
city,Las Vegas,driving,NA,Nevada,United States,2020-04-01,57
city,Las Vegas,driving,NA,Nevada,United States,2020-04-02,55.94
city,Las Vegas,driving,NA,Nevada,United States,2020-04-03,62.1
city,Las Vegas,driving,NA,Nevada,United States,2020-04-04,54.27
city,Las Vegas,driving,NA,Nevada,United States,2020-04-05,42.77
city,Las Vegas,driving,NA,Nevada,United States,2020-04-06,53.41
city,Las Vegas,driving,NA,Nevada,United States,2020-04-07,53.73
city,Las Vegas,driving,NA,Nevada,United States,2020-04-08,53.47
city,Las Vegas,driving,NA,Nevada,United States,2020-04-09,55.75
city,Las Vegas,driving,NA,Nevada,United States,2020-04-10,60.98
city,Las Vegas,driving,NA,Nevada,United States,2020-04-11,56.3
city,Las Vegas,driving,NA,Nevada,United States,2020-04-12,37.97
city,Las Vegas,driving,NA,Nevada,United States,2020-04-13,56.37
city,Las Vegas,driving,NA,Nevada,United States,2020-04-14,57.69
city,Las Vegas,driving,NA,Nevada,United States,2020-04-15,63.63
city,Las Vegas,driving,NA,Nevada,United States,2020-04-16,64.23
city,Las Vegas,driving,NA,Nevada,United States,2020-04-17,69.77
city,Las Vegas,driving,NA,Nevada,United States,2020-04-18,63.38
city,Las Vegas,driving,NA,Nevada,United States,2020-04-19,53.63
city,Las Vegas,driving,NA,Nevada,United States,2020-04-20,64.87
city,Las Vegas,driving,NA,Nevada,United States,2020-04-21,63.81
city,Las Vegas,driving,NA,Nevada,United States,2020-04-22,66.06
city,Las Vegas,driving,NA,Nevada,United States,2020-04-23,68.27
city,Las Vegas,driving,NA,Nevada,United States,2020-04-24,74.26
city,Las Vegas,driving,NA,Nevada,United States,2020-04-25,68.53
city,Las Vegas,driving,NA,Nevada,United States,2020-04-26,55.38
city,Las Vegas,driving,NA,Nevada,United States,2020-04-27,68.69
city,Las Vegas,driving,NA,Nevada,United States,2020-04-28,70.71
city,Las Vegas,driving,NA,Nevada,United States,2020-04-29,71.82
city,Las Vegas,driving,NA,Nevada,United States,2020-04-30,75.31
city,Las Vegas,driving,NA,Nevada,United States,2020-05-01,83.99
city,Las Vegas,driving,NA,Nevada,United States,2020-05-02,75.97
city,Las Vegas,driving,NA,Nevada,United States,2020-05-03,61.69
city,Las Vegas,driving,NA,Nevada,United States,2020-05-04,75.32
city,Las Vegas,driving,NA,Nevada,United States,2020-05-05,79.17
city,Las Vegas,driving,NA,Nevada,United States,2020-05-06,76.85
city,Las Vegas,driving,NA,Nevada,United States,2020-05-07,79.4
